app_id,source
8134740,src_candidate_required
8135374,src_candidate_required
8136750,control_puzzle
8136752,control_puzzle
8138875,src_candidate_required
8139366,src_candidate_required|src_growth200|src_today200|src_week100
8140587,src_candidate_required
8140601,control_puzzle
8143757,src_candidate_required
8146064,src_candidate_required
8146065,src_candidate_required
8148705,src_candidate_required
8152342,src_candidate_required
8154680,control_puzzle
8156408,src_growth200
8161279,src_candidate_required
8167287,control_puzzle
8167395,control_puzzle
8168407,control_other
8168881,src_candidate_required
8174614,src_candidate_required
8178767,src_today200
8178866,src_candidate_required
8180503,src_candidate_required
8180902,src_candidate_required|src_today200
8183676,src_candidate_required
8185383,src_candidate_required
8192045,src_candidate_required
8192572,src_candidate_required
8192587,src_today200
8195557,src_candidate_required
8196494,src_candidate_required
8198791,control_other
8200288,control_other
8205529,src_candidate_required
8205706,src_candidate_required
8207300,src_candidate_required|src_today200
8207380,src_candidate_required
8208075,control_other
8208360,control_puzzle
8208647,src_candidate_required
8209667,src_candidate_required
8210759,control_puzzle
8211361,src_candidate_required|src_growth200|src_week100
8211367,src_candidate_required|src_growth200
8211681,src_candidate_required
8212672,src_candidate_required
8215335,control_puzzle
8215960,src_candidate_required|src_today200
8216701,src_candidate_required
8217691,src_candidate_required
8218814,src_candidate_required
8219742,control_puzzle
8219783,src_candidate_required
8220335,src_candidate_required
8220556,src_candidate_required
8221441,src_candidate_required
8222423,src_candidate_required
8222424,src_growth200
8222429,src_growth200
8222431,src_candidate_required
8222433,src_candidate_required
8227650,src_candidate_required
8228407,src_candidate_required
8229135,src_candidate_required
18343194,src_growth200
18487570,src_growth200
19163417,src_candidate_required
51394394,src_candidate_required
51397295,src_candidate_required
51397340,src_candidate_required
51399364,src_growth200
51411960,src_candidate_required
51414631,control_puzzle
51415023,src_candidate_required
51417437,src_growth200|src_week100
51418006,src_growth200
51418008,src_growth200
51418014,src_candidate_required
51418015,control_other
51418021,src_candidate_required
51418036,src_candidate_required
51418333,src_today200
51418493,control_puzzle
51420108,src_candidate_required
51420554,src_candidate_required
51421668,src_candidate_required
51427204,src_candidate_required
51433539,src_candidate_required
51435642,control_puzzle
51437963,control_other
51440258,src_candidate_required
51442884,src_growth200|src_today200|src_week100
51443821,control_puzzle
51449726,src_candidate_required
51450244,control_other
51450245,src_growth200
51450265,src_candidate_required
51450266,src_candidate_required
51450267,src_candidate_required
51450268,src_candidate_required
51450276,src_growth200
51450966,src_candidate_required
51451060,control_other
51453768,src_candidate_required
51453905,src_candidate_required
51453978,src_candidate_required
51455776,src_candidate_required
51459766,src_growth200
51466499,src_candidate_required
51468424,src_candidate_required
51470385,src_candidate_required
51470914,src_candidate_required
51471577,control_puzzle
51471581,control_puzzle
51471584,src_week100
51473464,src_candidate_required
51475309,src_candidate_required
51477963,src_candidate_required
51480216,src_growth200
51485348,src_candidate_required
51486561,src_today200
51487474,src_candidate_required|src_today200|src_week100
51488918,src_candidate_required
51489675,src_candidate_required
51492084,src_today200
51492505,control_puzzle
51492686,src_candidate_required
51493041,src_candidate_required
51493047,src_candidate_required
51493080,src_growth200
51493082,src_growth200
51493083,control_other
51493084,src_candidate_required
51495317,src_candidate_required
51495445,src_candidate_required
51495570,src_candidate_required
51495581,src_candidate_required
51495585,src_candidate_required
51495586,control_other
51496813,src_candidate_required
51499101,src_candidate_required
51499386,src_candidate_required
51505551,src_candidate_required
51509066,src_candidate_required
51517117,src_candidate_required
51522674,src_candidate_required|src_growth200
51522679,src_growth200
51523379,src_candidate_required
51524227,src_candidate_required
51524312,control_other
51524476,src_candidate_required
51527512,src_candidate_required
51528039,src_candidate_required
51528946,src_candidate_required
51530048,src_candidate_required
51530810,src_candidate_required
51531575,src_candidate_required
51533334,src_candidate_required
51536054,src_candidate_required
51539269,src_today200
51540681,src_growth200|src_today200|src_week100
51541268,src_candidate_required
51541460,src_candidate_required
51541524,src_candidate_required
51542935,src_growth200
51543281,src_candidate_required
51543283,src_candidate_required
51543286,src_candidate_required
51543289,src_candidate_required
51543315,src_candidate_required
51543319,control_puzzle
51547704,src_candidate_required
51547981,src_candidate_required
51548724,src_candidate_required
51549677,src_candidate_required
51551427,control_puzzle
51554155,src_growth200
51554330,src_candidate_required
51554338,src_candidate_required
51554341,src_candidate_required
51554350,src_growth200
51554432,src_candidate_required
51556993,src_candidate_required
51558273,src_candidate_required
51559466,src_candidate_required
51559478,src_candidate_required
51559482,src_candidate_required
51559485,control_other
51559734,src_candidate_required
51562952,src_today200
51563094,control_puzzle
51567810,src_candidate_required
51568330,src_candidate_required
51568337,control_other
51568340,src_candidate_required
51568352,src_candidate_required
51568364,src_candidate_required
51568369,control_other
51568377,control_other
51569769,src_candidate_required
51573679,control_puzzle
51573696,control_other
51575745,control_puzzle
51580356,src_candidate_required
51580468,src_candidate_required
51583968,src_growth200|src_today200|src_week100
51588234,src_candidate_required
51588239,src_candidate_required
51588799,control_puzzle
51596201,control_puzzle
51596928,src_growth200|src_week100
51598258,src_growth200
51598880,control_puzzle
51600591,src_candidate_required
51601979,control_puzzle
51603409,src_candidate_required
51605986,src_candidate_required
51606926,control_puzzle
51610911,control_puzzle
51610937,src_growth200|src_today200
51613524,control_other
51614608,src_candidate_required
51615245,src_candidate_required|src_growth200
51615248,src_growth200
51615249,src_candidate_required
51615259,control_other
51615269,src_candidate_required
51617378,src_growth200
51618368,src_growth200
51618682,src_candidate_required
51619559,src_growth200
51621091,src_candidate_required
51624500,src_growth200
51624546,src_candidate_required
51625374,control_puzzle
51625375,src_candidate_required
51625379,src_candidate_required
51626201,src_growth200
51626772,src_candidate_required|src_growth200
51629175,src_candidate_required
51630451,src_candidate_required
51633404,src_today200
51638851,src_candidate_required
51640371,control_other
51643303,control_other
51643318,src_candidate_required
51650000,control_other
51650749,src_candidate_required
51651415,src_candidate_required
51651635,src_candidate_required
51658458,control_puzzle
51662604,src_candidate_required
51668794,src_candidate_required
51676057,src_candidate_required|src_today200|src_week100
51676385,src_candidate_required|src_today200
51678453,src_candidate_required
51686180,control_other
51687147,src_candidate_required
51691850,src_candidate_required|src_today200
51694442,src_candidate_required
51695242,src_candidate_required
51698519,control_other
51699240,src_candidate_required
51699611,src_growth200
51701753,src_candidate_required
51701763,src_candidate_required
51701765,control_puzzle
51702757,src_candidate_required
51703502,src_candidate_required
51706814,src_growth200
51710197,src_growth200|src_today200|src_week100
51718605,src_candidate_required
51719736,src_candidate_required
51719976,control_other
51723734,src_candidate_required|src_growth200|src_today200
51727306,src_candidate_required
51728449,src_candidate_required
51729254,src_candidate_required
51729436,src_growth200
51729437,src_candidate_required
51729440,src_candidate_required
51729446,src_candidate_required
51729449,src_candidate_required
51729469,control_other
51729475,src_candidate_required
51730789,src_candidate_required
51730791,src_candidate_required
51731262,src_candidate_required
51731336,src_candidate_required
51733110,src_candidate_required
51734887,src_candidate_required
51737370,control_puzzle
51739885,src_candidate_required
51740272,src_candidate_required
51747522,src_candidate_required
51749516,src_candidate_required
